source:pkey,name,addr:full,addr:housenumber,addr:postcode,addr:city,phone,fax,email,website,source:date,addr:street,addr:unit,amenity,emergency
3622570,Consultori Local Sant Bartomeu Del Grau," Cr Ponent, S/N", ,08519,Sant Bartomeu del Grau,938889362,93 888 90 37,,,2020-03-19T07:59:07, Cr Ponent,,clinic,
3620127,Consultori Local Campelles," Pl Ajuntament, S/N", ,17534,Campelles,972727273,,,,2020-03-19T07:59:19, PlaçaAjuntament,,clinic,
3622057,Cap Cubelles," Cr De Mossèn Miquel Cortí, S/N", ,08880,Cubelles,938957906,93 896 95 75,,,2020-03-19T07:58:03, Cr De Mossèn Miquel Cortí,,clinic,
3622299,Cuap Sant Bernabé," Ct De Ribes, S/N", ,08600,Berga,,,diracutbagesbergueda.cc.ics@gencat.cat,http://www.hsb.cat/,2020-03-19T07:59:09, Ct De Ribes,,clinic,
3621038,Consultori Local Martinet," Cr Cerdanya, 1", 1,25724,Montellà i Martinet,973515132,,,,2020-03-19T07:59:01, Cr Cerdanya,,clinic,
3620172,Consultori Local Setcases," Cr Jesús, S/N", ,17869,Setcases,972136089,,,,2020-03-19T07:59:18, Cr Jesús,,clinic,
3622467,Cap Verdaguer," Cr Creu D'En Muntaner, S/N", ,08970,Sant Joan Despí,933735653,93 373 23 90,verdaguer.blc.cp.ics@gencat.net,,2020-03-19T07:58:48, Cr Creu D'En Muntaner,,clinic,
3622433,Consultori Local Savallà Del Comtat," Pl Major, 1", 1,43427,Savallà del Comtat,977880778-CAPSt,,,,2020-03-19T07:59:08, PlaçaMajor,,clinic,
3622708,Hospital Universitari Germans Trias I Pujol De Badalona," Ct De Canyet, S/N", ,08916,Badalona,934651200,93 497 88 43,rreyner.germanstrias@gencat.cat,http://www.gencat.net/ics/germanstrias/,2020-03-19T07:58:44, Ct De Canyet,,hospital,
3620654,Consultori Local Castellterçol," Ct Castellcir, S/N", ,08183,Castellterçol,938666350,93 866 65 14,,,2020-03-19T07:59:04, Ct Castellcir,,clinic,
3619511,Consultori Local Bovera," Cr Raval, 5", 5,25178,Bovera,973133512,,,,2020-03-19T07:59:58, Cr Raval,,clinic,
3620505,Consultori Local Montagut," Av De Les Escoles, S/N", ,17855,Montagut i Oix,972287801,,,,2020-03-19T07:59:25, Av De Les Escoles,,clinic,
3620188,Hospital Comarcal Móra D'Ebre," Cr Benet Messeguer, S/N", ,43740,Móra d'Ebre,977401674,977 40 12 14,plopez@grupsagessa.com,http://www.grupsagessa.com/index.php?option=com_content&view=article&id=72&Itemid=30,2020-03-19T07:59:33, Cr Benet Messeguer,,hospital,
3619845,Atenció Continuada Cap Falset," Cr Vilanova De Les Torres, 1", 1,43730,Falset,977831288,977 83 17 81,falset.tgn.ics@gencat.cat,,2020-03-19T07:59:41, Cr Vilanova De Les Torres,,clinic,yes
3620671,Cap La Sagrera," Cr Garcilaso, 1-9", 1-9,08027,Barcelona,933406398,93 351 73 84,,,2020-03-19T07:58:42, Cr Garcilaso,,clinic,
3619941,Cap El Vendrell," Cr Transversal, S/N", ,43700,"Vendrell, el",977667703,977 66 54 17,xarxa@xarxatecla.cat,http://www.xarxatecla.cat,2020-03-19T07:59:42, Cr Transversal,,clinic,
3622686,Cap Doctor Robert," Pl De La Medicina, S/N", ,08911,Badalona,933842425,93 384 24 28,eap2.badalonacentre.sanitat@gencat.cat,,2020-03-19T07:58:46, PlaçaDe La Medicina,,clinic,
3620924,Cap Sagrada Família - Equip Barcelona 2 I," Cr Còrsega, 643", 643,08025,Barcelona,935072580,93 507 25 86,uac.sagradafamilia@sanitatintegral.org,https://www.csi.cat/ciutadans/centres/cap-sagrada-familia/es_index.html,2020-03-19T07:58:42, Cr Còrsega,,clinic,
3619934,Cap Calafell," Av Vilarenc, 8", 8,43820,Calafell,977691418,977 69 24 29,abscalafell@xarxatecla.cat,,2020-03-19T07:59:42, Av Vilarenc,,clinic,
3620453,Consultori Local Avinyó," Ps Del Passeig, 19", 19,08279,Avinyó,938388855,,,,2020-03-19T07:59:12, Ps Del Passeig,,clinic,
3619556,Consultori Local Sanaüja," Cr Bassal, 4", 4,25753,Sanaüja,973476066,,,,2020-03-19T07:59:53, Cr Bassal,,clinic,
3622594,Consultori Local Sant Vicenç De Montalt," Av Verge De Montserrat, 2", 2,08394,Sant Vicenç de Montalt,937911109,,,,2020-03-19T07:57:57, Av Verge De Montserrat,,clinic,
3619562,Consultori Local Sant Antolí I Vilanova," Rv Raval Del Pont, S/N", ,25213,Ribera d'Ondara,973540100,,,,2020-03-19T07:59:53, Rv Raval Del Pont,,clinic,
3622426,Consultori Local Vallcebre," Pl Del  Roser, S/N", ,08699,Vallcebre,938227102,,,,2020-03-19T07:59:08, PlaçaDel  Roser,,clinic,
3621560,Hospital Del Mar," Ps Marítim De La Barceloneta, 25-29", 25-29,08003,Barcelona,932483000,93 248 32 54,,http://www.parcdesalutmar.cat/hospitals/hospital-del-mar/,2020-03-19T07:58:13, Ps Marítim De La Barceloneta,,hospital,
3621039,Consultori Local Prats I Sansor," Cr Únic, S/N", ,25721,Prats i Sansor,972890594,,,,2020-03-19T07:59:01, Cr Únic,,clinic,
3622316,Consultori Local La Pobla De Lillet," Cr Carrilet, S/N", ,08696,"Pobla de Lillet, la",938236006,93 823 64 78,,,2020-03-19T07:59:08, Cr Carrilet,,clinic,
3621067,Consultori Local Sant Esteve De Palautordera," Ps Verge Del Remei, 19", 19,08460,Sant Esteve de Palautordera,938482470,93 848 23 19,stesteve.mn.ics@gencat.cat,,2020-03-19T07:57:37, Ps Verge Del Remei,,clinic,
3620335,Cap Llançà," Cr Dolors Falcó, 16", 16,17490,Llançà,972122010,972 38 00 67,eap_llanca.girona.ics@gencat.cat,,2020-03-19T07:59:30, Cr Dolors Falcó,,clinic,
10930393,Assir La Mina Sant Adrià De Besòs," Cr Mar, S/N", ,08930,Sant Adrià de Besòs,933811593,93 381 21 41,cpareja.bcn.ics@gencat.cat,,2020-03-19T07:58:06, Cr Mar,,clinic,
3621685,Consultori Local La Beguda Alta," Pl Pla Dels Ocells, S/N", ,08791,Sant Llorenç d'Hortons,937725262,,,,2020-03-19T07:58:58, PlaçaPlaça Dels Ocells,,clinic,
3621329,Consultori Local Peramea," Cr Sant Cristòfol, S/N", ,25591,Baix Pallars,973662058,,,,2020-03-19T07:59:00, Cr Sant Cristòfol,,clinic,
3619803,Consultori Local La Pineda," Cr Alfredo Kraus, S/N", ,43481,Vila-seca,977370513,,,,2020-03-19T07:59:37, Cr Alfredo Kraus,,clinic,
3622867,Cap Santa Perpètua De Mogoda," Av De Mossèn Jacint Verdaguer, 11", 11,08130,Santa Perpètua de Mogoda,935600991,93 560 06 19,capsantaperpetua.mn.ics@gencat.cat,,2020-03-19T07:57:48, Av De Mossèn Jacint Verdaguer,,clinic,
3620785,Atenció Continuada Cap La Seu D'Urgell," Ps Joan Brudieu, 8", 8,25700,"Seu d'Urgell, la",973350470,973 35 25 36,uaau_laseu.pirineu.ics@gencat.cat,,2020-03-19T07:59:03, Ps Joan Brudieu,,clinic,yes
3622577,Cuap El Serral De Sant Vicenç Dels Horts," Ct Sant Boi, 59-61", 59-61,08620,Sant Vicenç dels Horts,,,,,2020-03-19T07:58:47, Ct Sant Boi,,clinic,yes
3620635,Consultori Local Biosca," Cm Nou, 5", 5,25752,Biosca,973473528,,,,2020-03-19T07:59:05, Cm Nou,,clinic,
3620709,Cap Joan Mirambell I Folch," Av De Josep Fontcuberta, 128", 128,08140,Caldes de Montbui,938654125,93 865 03 67,caldes.mn.ics@gencat.cat,,2020-03-19T07:57:43, Av De Josep Fontcuberta,,clinic,
3621342,Consultori Local La Guingueta," Ct Val D'Aran, S/N", ,25597,"Guingueta d'Àneu, la",973626555,,,,2020-03-19T07:58:59, Ct Val D'Aran,,clinic,
3619940,Consultori Local Santa Oliva," Cr Mossèn Antoni Paradis, 1", 1,43710,Santa Oliva,977679550,,,,2020-03-19T07:59:42, Cr Mossèn Antoni Paradis,,clinic,
3619974,Consultori Local Cervià De Les Garrigues," Cr Francesc Palau, 1", 1,25460,Cervià de les Garrigues,973178124,,,,2020-03-19T07:59:57, Cr Francesc Palau,,clinic,
3619703,Consultori Local Claravalls," Cr Les Escoles, S/N", ,25353,Tàrrega,973333036,,,,2020-03-19T07:59:48, Cr Les Escoles,,clinic,
3620930,Cap Sant Rafael," Ps Vall D'Hebron, 107-117", 107-117,08035,Barcelona,934289541,93 428 97 84,,,2020-03-19T07:58:42, Ps Vall D'Hebron,,clinic,
3620215,Atenció Continuada Cap Cardona," Ps Mossén Joan  Riba, 1", 1,08261,Cardona,938692450,93 868 43 29,eapcardona.cc.ics@gencat.cat,,2020-03-19T07:59:12, Ps Mossén Joan  Riba,,clinic,yes
3620247,Cap Bàscara," Ps Catalunya, S/N", ,17483,Bàscara,972560628,972 56 09 06,eap_bascara.girona.ics@gencat.cat,,2020-03-19T07:59:32, Ps Catalunya,,clinic,
3620294,Consultori Local Vilatenim," Cr Nou De Vilatenim, 9", 9,17484,Figueres,972505711,,,,2020-03-19T07:59:31, Cr Nou De Vilatenim,,clinic,
3619870,Cuap Sant Pere," Cm De Riudoms, 53-55", 53-55,43202,Reus,,,cuapreus.tgn.ics@gencat.cat,,2020-03-19T07:59:45, Cm De Riudoms,,clinic,
3621869,Cap Ronda De La Torrassa," Rd Torrassa, 151-153", 151-153,08903,"Hospitalet de Llobregat, l'",934470720,93 440 50 68,informacio@csi.cat,https://www.csi.cat/ciutadans/centres/cap-la-torrassa/es_index.html,2020-03-19T07:58:11, Rd Torrassa,,clinic,
3621375,Cuap Ciutat Vella - Peracamps," Pl Pieyre De Mandiargues, 1-5", 1-5,08003,Barcelona,,,,,2020-03-19T07:58:39, PlaçaPieyre De Mandiargues,,clinic,
3619587,Atenció Continuada Consultori Local Alpicat (Lleida Rural Nord)," Cr Del Bosc, S/N", ,25110,Alpicat,973736104,,,,2020-03-19T07:59:52, Cr Del Bosc,,clinic,yes
3620808,Consultori Local Cànoves I Samalús," Cr Pla De La Rectoria, S/N", ,08445,Cànoves i Samalús,938710250,93 871 07 21,canoves.mn.ics@gencat.cat,,2020-03-19T07:57:43, Cr Plaça De La Rectoria,,clinic,
3619526,Consultori Local Linyola," Pl El Planell, S/N", ,25240,Linyola,973714324,,,,2020-03-19T07:59:55, PlaçaEl Plaçanell,,clinic,
3619681,Atenció Continuada Cap Bellpuig," Cr Diputació, S/N", ,25250,Bellpuig,973337157,973 33 71 57,bellpuig.lleida.ics@gencat.cat,,2020-03-19T07:59:49, Cr Diputació,,clinic,yes
3619750,Consultori Local Altafulla," Cr Bruixes, S/N", ,43893,Altafulla,977656007,,,,2020-03-19T07:59:40, Cr Bruixes,,clinic,
3620653,Consultori Local Castellcir," Cr Call De Cal Solanes, S/N", ,08183,Castellcir,938668151,,,,2020-03-19T07:59:04, Cr Call De Cal Solanes,,clinic,
3620414,Atenció Continuada Cap Calaf," Ct Llarga, S/N", ,08280,Calaf,938698779,93 868 02 72,,,2020-03-19T07:59:15, Ct Llarga,,clinic,yes
3620531,Consultori Local Aiguaviva," Cr Del Pou, 1", 1,17181,Aiguaviva,972394318,,,,2020-03-19T07:59:24, Cr Del Pou,,clinic,
3622825,Cap Barceloneta," Ps Marítim De La Barceloneta, 25-29", 25-29,08003,Barcelona,932213783,93 221 28 38,cap-barceloneta@perevirgili.cat,http://perevirgili.gencat.cat/ca/serveis-assistencials/atencio-primaria_/cap-barceloneta/,2020-03-19T07:58:43, Ps Marítim De La Barceloneta,,clinic,
9013532,Atenció Continuada Cap Rocafonda-Palau," Rd Pintor Rafael Estrany, 24", 24,08304,Mataró,,,,,2020-03-19T07:58:01, Rd Pintor Rafael Estrany,,clinic,yes
3620366,Cap Navàs," Cr Pau Duarri, 36", 36,08670,Navàs,938390333,93 839 12 64,cap.navas@manresa.scs.es,,2020-03-19T07:59:11, Cr Pau Duarri,,clinic,
3619536,Consultori Local Torregrossa," Cr Jacint Verdaguer, S/N", ,25141,Torregrossa,973170356,,,,2020-03-19T07:59:54, Cr Jacint Verdaguer,,clinic,
3620090,Consultori Local El Poblenou," Cr Empordà, 3", 3,08397,Pineda de Mar,937691598,93 767 16 47,,,2020-03-19T07:59:20, Cr Empordà,,clinic,
3621870,Cap Sanfeliu," Cr Emigrant, 21-25", 21-25,08906,"Hospitalet de Llobregat, l'",932610908,93 261 11 65,,,2020-03-19T07:58:11, Cr Emigrant,,clinic,
3621895,Atenció Continuada Cap La Mina," Cr Mar, S/N", ,08930,Sant Adrià de Besòs,933811593,93 381 21 41,cpareja.bcn.ics@gencat.cat,,2020-03-19T07:58:06, Cr Mar,,clinic,yes
3620459,Consultori Local Corçà," Av Costa Brava, 17", 17,17121,Corçà,972630563,,tvalencia@ssibe.cat,,2020-03-19T07:59:28, Av Costa Brava,,clinic,
3621862,Consultori Local Santa Maria De Vilalba," Cm Castell Voltrera, 5", 5,08630,Abrera,937701738,93 770 17 39,admabre.bln.cp.ics@gencat.cat,,2020-03-19T07:58:57, Cm Castell Voltrera,,clinic,
7312966,Atenció Continuada Cap Nou Tàrraco," Cr Doctor Mallafré Guasch, 4", 4,43005,Tarragona,977221871,977 22 18 56,tarraco.tgn.ics@gencat.cat,,2020-03-19T07:59:39, Cr Doctor Mallafré Guasch,,clinic,yes
3620326,Consultori Local Montmaneu," Cr Major, 46", 46,08717,Montmaneu,938092171,,,,2020-03-19T07:59:14, Cr Major,,clinic,
3622359,Cap Ronda Prim - Equip La Riera," Rd General Prim, 35", 35,08302,Mataró,937550519,,mataro1.sanitat@gencat.cat,,2020-03-19T07:58:00, Rd General Prim,,clinic,
3620481,Consultori Local Martí Casals I Echegaray," Pl Catalunya, 2", 2,17246,Santa Cristina d'Aro,972835816,972 83 58 19,,,2020-03-19T07:59:27, PlaçaCatalunya,,clinic,
3619770,Consultori Local Les Gunyoles," Pl Major, S/N", ,43154,"Secuita, la",977611217,,,,2020-03-19T07:59:39, PlaçaMajor,,clinic,
3622822,Atenció Continuada Centre De Salut Isabel Roig Cap Casernes De Sant Andreu," Cr Fernando Pessoa, 47-51", 47-51,08030,Barcelona,932747955,,,,2020-03-19T07:58:43, Cr Fernando Pessoa,,clinic,yes
3620234,Consultori Local El Xup," Gr Pare Ignasi Puig, S/N", ,08241,Manresa,938729306,,,,2020-03-19T07:59:12, Gr Pare Ignasi Puig,,clinic,
3620035,Consultori Local Preixens," Ct Balaguer, 10", 10,25316,Preixens,973390635,,,,2020-03-19T07:59:55, Ct Balaguer,,clinic,
3620005,Consultori Local Vilanova De La Sal," Av Noguera, S/N", ,25612,"Avellanes i Santa Linya, les",973454097,,,,2020-03-19T07:59:56, Av Noguera,,clinic,
3620279,Consultori Local Empuriabrava," Cr Sector Gran Reserva, S/N", ,17487,Castelló d'Empúries,972453875,,,,2020-03-19T07:59:32, Cr Sector Gran Reserva,,clinic,
3619981,Consultori Local Granyena De Les Garrigues," Cr Portal, 5", 5,25160,Granyena de les Garrigues,973136377,,,,2020-03-19T07:59:57, Cr Portal,,clinic,
3620669,Cap La Marina," Cr Amnistia Internacional, 8-14", 8-14,08038,Barcelona,934955885,93 331 61 46,,,2020-03-19T07:58:42, Cr Amnistia Internacional,,clinic,
3620274,Consultori Local Massanes," Cr Major, 1", 1,17452,Massanes,,972 86 41 77,,,2020-03-19T07:59:16, Cr Major,,clinic,
3620641,Consultori Local Ardèvol De Pinós," Pl Major, S/N", ,25287,Pinós,973473292,,,,2020-03-19T07:59:04, PlaçaMajor,,clinic,
10928067,Assir Baix Llobregat Castelldefels," Cr Guillermo Marconi, 9", 9,08860,Castelldefels,936366660,93 636 02 63,castell.bll.cp.ics@gencat.net,,2020-03-19T07:58:57, Cr Guillermo Marconi,,clinic,
3622816,Atenció Continuada Cap Ciutat Meridiana," Cr Sant Feliu De Codines, 2", 2,08033,Barcelona,933508889,93 276 38 32,,,2020-03-19T07:58:43, Cr Sant Feliu De Codines,,clinic,yes
3622343,Cap Camps Blancs," Pl Euskadi, S/N", ,08830,Sant Boi de Llobregat,936529130,93 652 91 38,cblancs.bll.cp.ics@gencat.net,,2020-03-19T07:58:51, PlaçaEuskadi,,clinic,
3622674,Consultori Local Sant Martí De Centelles," Cr Estació, 2", 2,08592,Sant Martí de Centelles,938440500,,,,2020-03-19T07:59:06, Cr Estació,,clinic,
3622835,Cap Ciutat Meridiana," Cr Sant Feliu De Codines, 2", 2,08033,Barcelona,933508889,93 276 38 32,,,2020-03-19T07:58:43, Cr Sant Feliu De Codines,,clinic,
3619848,Consultori Local Gratallops," Cr Dalt, 11", 11,43737,Gratallops,977839169,,,,2020-03-19T07:59:41, Cr Dalt,,clinic,
3619669,Consultori Local Torres De Segre," Cr Joan Miró, 1", 1,25170,Torres de Segre,973796331,,,,2020-03-19T07:59:49, Cr Joan Miró,,clinic,
3619894,Atenció Continuada Cap Torreforta-La Granja," Cr La Gomera, 10", 10,43006,Tarragona,977548088,977 55 12 00,torreforta.tgn.ics@gencat.cat,,2020-03-19T07:59:39, Cr La Gomera,,clinic,yes
3620484,Consultori Local Torrent," Cr Tomàs I Coll, S/N", ,17123,Torrent,972308502,,mdecos@ssibe.cat,,2020-03-19T07:59:26, Cr Tomàs I Coll,,clinic,
3619931,Consultori Local La Bisbal Del Penedès," Cr Girona, 3", 3,43717,"Bisbal del Penedès, la",977688724,,,,2020-03-19T07:59:43, Cr Girona,,clinic,
3620922,Cap Roger De Flor - Equip Monumental," Cr Roger De Flor, 194-196", 194-196,08013,Barcelona,935070390,,info@eapdretaeixample.cat,,2020-03-19T07:58:42, Cr Roger De Flor,,clinic,
3621692,Consultori Local Santa Fe Del Penedès," Cr De L'Horta, 1", 1,08792,Santa Fe del Penedès,938974607,,,,2020-03-19T07:58:58, Cr De L'Horta,,clinic,
3620445,Consultori Local Santa Margarida De Montbui," Cr Anselm Clavé, 3-5", 3-5,08710,Santa Margarida de Montbui,938017300,,,,2020-03-19T07:59:13, Cr Anselm Clavé,,clinic,
3622348,Consultori Local Canyamars," Cr Major, 7", 7,08319,Dosrius,937955224,,,,2020-03-19T07:58:01, Cr Major,,clinic,
3622338,Consultori Local La Solana," Cr Sant Felip Neri, 18", 18,08740,Sant Andreu de la Barca,936356651,93 682 52 90,admsolana.bln.cp.ics@gencat.net,,2020-03-19T07:58:51, Cr Sant Felip Neri,,clinic,
3622559,Consultori Local Vinyoles D'Orís," Pg Sant Josep, 2", 2,08509,"Masies de Voltregà, les",938504845,,,,2020-03-19T07:59:07, Pg Sant Josep,,clinic,
3620346,Atenció Continuada Cap Peralada," Cr Toló, 3-5", 3-5,17491,Peralada,972538587,972 53 85 64,uau@alberasalut.org,,2020-03-19T07:59:30, Cr Toló,,clinic,yes
3620377,Consultori Local Rabós," Pl Major, 2", 2,17754,Rabós,972563494,,,,2020-03-19T07:59:30, PlaçaMajor,,clinic,
3622495,Consultori Local Barri El Remei," To Castells, 83", 83,08338,Premià de Dalt,937523403,,,,2020-03-19T07:57:57, To Castells,,clinic,
3622591,Atenció Continuada Cap Nova Lloreda," Av Catalunya, 62-64", 62-64,08917,Badalona,934603900,93 389 00 62,bsa@bsa.cat,https://www.bsa.cat/,2020-03-19T07:58:46, Av Catalunya,,clinic,yes
3622692,Cap Nova Lloreda - Equip Montigalà," Av Catalunya, 62-64", 62-64,08917,Badalona,934603900,93 389 00 62,bsa@bsa.cat,https://www.bsa.cat/,2020-03-19T07:58:46, Av Catalunya,,clinic,
3621379,Cuap Dos De Maig," Cr Dos De Maig, 301", 301,08025,Barcelona,935072700,,,http://www.eapdretaeixample.cat/,2020-03-19T07:58:39, Cr Dos De Maig,,clinic,yes
3619515,Consultori Local Vilanova De L'Aguda," Cr Joaquim Donato, 22", 22,25749,Vilanova de l'Aguda,973460927,,,,2020-03-19T07:59:55, Cr Joaquim Donato,,clinic,
3619808,Cap Salou," Cr Carrilet, 12", 12,43840,Salou,977383018,977 38 07 42,salou.tgn.ics@gencat.cat,,2020-03-19T07:59:37, Cr Carrilet,,clinic,
3620023,Consultori Local Cubells," Cr Castella, 41", 41,25737,Cubells,973459000,,,,2020-03-19T07:59:56, Cr Castella,,clinic,
3620107,Consultori Local Palol De Revardit," Cr Veïnat De Palol, 3, Pis Ba", 3,17843,Palol de Revardit,972594448,,,,2020-03-19T07:59:19, Cr Veïnat De Palol, Pis Ba,clinic,
3621340,Consultori Local Tírvia," Cr Major, S/N", ,25595,Tírvia,973622074,,,,2020-03-19T07:58:59, Cr Major,,clinic,
3622225,Cap Arenys De Mar," Av D'Auterive, S/N", ,08350,Arenys de Mar,937958074,93 795 81 34,arenys.sanitat@gencat.cat,,2020-03-19T07:58:02, Av D'Auterive,,clinic,
3620211,Consultori Local El Pinell De Brai," Pl Catalunya, 1", 1,43594,"Pinell de Brai, el",977321395,,,,2020-03-19T07:59:32, PlaçaCatalunya,,clinic,
3619541,Consultori Local Castellnou D'Oluges," Cr La Plaça, S/N", ,25214,Cervera,973531048,,,,2020-03-19T07:59:54, Cr La Plaçaça,,clinic,
3619866,Consultori Local Barri Gaudí," Av Barcelona, 10", 10,43202,Reus,977334078,,,,2020-03-19T07:59:45, Av Barcelona,,clinic,
3620391,Consultori Local Torroella De Fluvià," Pl Ajuntament, 1", 1,17474,Torroella de Fluvià,972520260,972 77 20 89,,,2020-03-19T07:59:29, PlaçaAjuntament,,clinic,
3622606,Cap Les Indianes (Montcada I Reixac)," Cm De La Font Freda, S/N", ,08110,Montcada i Reixac,935752601,93 572 66 40,,,2020-03-19T07:57:57, Cm De La Font Freda,,clinic,
3620349,Consultori Local Pont De Molins," Pl Del Docor Cuffí Casellas, 1", 1,17706,Pont de Molins,972529250,,,,2020-03-19T07:59:30, PlaçaDel Docor Cuffí Casellas,,clinic,
9014347,Atenció Continuada Cap Antoni Creus (Can Parellada)," Cr Italia, 5", 5,08228,Terrassa,,,,,2020-03-19T07:57:47, Cr Italia,,clinic,yes
3622438,Atenció Continuada Cap Centelles," Pl Pla Del Mestre, 7", 7,08540,Centelles,938810485,93 881 05 31,rvilatimo@ebacentelles.com,http://www.ebacentelles.cat/,2020-03-19T07:59:08, PlaçaPlaça Del Mestre,,clinic,yes
10930424,Assir Baix Llobregat Nord Martorell," Cr Puig Del Ravell, 10", 10,08760,Martorell,937736758,93 775 17 22,admtorrentllops@ambitcp.catsalut.net,,2020-03-19T07:58:53, Cr Puig Del Ravell,,clinic,
10929870,Assir Cap Manso," Cr Manso, 19", 19,08015,Barcelona,935543161,,,,2020-03-19T07:58:43, Cr Manso,,clinic,
3620094,Consultori Local Santa Susanna," Pl Catalunya, S/N", ,08398,Santa Susanna,937678139,93 767 16 47,,,2020-03-19T07:59:20, PlaçaCatalunya,,clinic,
3622432,Cap Santa Coloma De Queralt," Cr Segarra, 3", 3,43420,Santa Coloma de Queralt,977880778,977 88 15 54,eapstacoloma.cc.ics@gencat.cat,,2020-03-19T07:59:08, Cr Segarra,,clinic,
3621683,Consultori Local Sant Cugat Sesgarrigues," Cr Milà I Fontanals, 27", 27,08798,Sant Cugat Sesgarrigues,938970363,,,,2020-03-19T07:58:58, Cr Milà I Fontanals,,clinic,
3620251,Consultori Local Cabanes," Cr Escoles, S/N", ,17761,Cabanes,972510067,,,,2020-03-19T07:59:32, Cr Escoles,,clinic,
3619667,Consultori Local Torrebesses," Cr Majo, 31", 31,25176,Torrebesses,973126312,,,,2020-03-19T07:59:49, Cr Majo,,clinic,
3622572,Cap Sant Just Desvern," Av De La Indústria, S/N", ,08960,Sant Just Desvern,934700689,93 473 93 32,sjust.blc.cp.ics@gencat.net,,2020-03-19T07:58:48, Av De La Indústria,,clinic,
3621043,Consultori Local Figuerola D'Orcau," Cr Del Vent, S/N", ,25655,Isona i Conca Dellà,973665033,973 65 04 86,,,2020-03-19T07:59:01, Cr Del Vent,,clinic,
3620952,Hospital De Mollet," Rd Pinetons, 6-8", 6-8,08100,Mollet del Vallès,935760300,93 576 03 06,,http://www.hospitalmollet.cat,2020-03-19T07:57:38, Rd Pinetons,,hospital,
3622056,Atenció Continuada Cap Cubelles," Cr De Mossèn Miquel Cortí, S/N", ,08880,Cubelles,938957906,93 896 95 75,,,2020-03-19T07:58:03, Cr De Mossèn Miquel Cortí,,clinic,yes
3620705,Cap L'Ametlla Del Vallès," Ps De L'Ametlla, 17", 17,08480,"Ametlla del Vallès, l'",938457246,,ametlla.mn.ics@gencat.cat,,2020-03-19T07:57:44, Ps De L'Ametlla,,clinic,
3620425,Consultori Local Vilanant," Cr Escoles, 1", 1,17743,Vilanant,972546003,,,,2020-03-19T07:59:29, Cr Escoles,,clinic,
3620791,Cap Montnegre - Equip Les Corts Pedralbes," Cr Montnegre, 21", 21,08029,Barcelona,933632965,93 321 98 78,Capmontnegre.pbcn@ics.scs.es,,2020-03-19T07:58:42, Cr Montnegre,,clinic,
3622022,Cap Sant Ildefons," Av República Argentina, 152", 152,08940,Cornellà de Llobregat,934712000,93 376 76 50,sildefons.blc.cp.ics@gencat.net,,2020-03-19T07:58:56, Av República Argentina,,clinic,
3622581,Cap Vallirana," Cr Joan Capri, 7", 7,08759,Vallirana,936833938,93 683 59 54,admvalli.bln.cp.ics@gencat.net,,2020-03-19T07:58:47, Cr Joan Capri,,clinic,
3620504,Consultori Local Mieres," Cn Caló, S/N", ,17830,Mieres,972680451,,,,2020-03-19T07:59:25, Cn Caló,,clinic,
3622427,Consultori Local Vilada," Cr Teodor Miralles, 33", 33,08613,Vilada,938238327,,,,2020-03-19T07:59:08, Cr Teodor Miralles,,clinic,
3619574,Consultori Local Alcanó," Cr Major, 13", 13,25162,Alcanó,973136204,,,,2020-03-19T07:59:53, Cr Major,,clinic,
3621072,Cap Santa Eulàlia De Ronçana," Cm De Can Torres, S/N", ,08187,Santa Eulàlia de Ronçana,938449537,,staeulalia.mn.ics@gencat.cat,,2020-03-19T07:57:36, Cm De Can Torres,,clinic,
3621733,Cap Just Oliveras," Rb Just Oliveras, 50", 50,08901,"Hospitalet de Llobregat, l'",932610033,93 261 00 65,,,2020-03-19T07:58:11, Rb Just Oliveras,,clinic,
3622317,Atenció Continuada Cap Puig-Reig," Ps De La Via, 14", 14,08692,Puig-reig,938290542,,eapbaixbergueda.cc.ics@gencat.cat,,2020-03-19T07:59:08, Ps De La Via,,clinic,yes
3621864,Cap Can Bou," Av Ciutat De Màlaga, 18-20", 18-20,08860,Castelldefels,936655659,93 664 92 33,aperis@canbou.com,,2020-03-19T07:58:57, Av Ciutat De Màlaga,,clinic,
3619925,Consultori Local Albinyana," Cr Torreta, 19", 19,43716,Albinyana,977687075,,,,2020-03-19T07:59:43, Cr Torreta,,clinic,
3622710,Ico Badalona," Ct De Canyet, S/N", ,08916,Badalona,934978710,93 497 87 04,jcaceres@iconcologia.net,http://www.iconcologia.net/catala/badalona/index.htm,2020-03-19T07:58:44, Ct De Canyet,,hospital,
3619549,Consultori Local La Guàrdia-Lada," Cr Major, 48", 48,25217,Montoliu de Segarra,973531048,,,,2020-03-19T07:59:54, Cr Major,,clinic,
3620072,Atenció Continuada Cap Calella," Cr Sant Jaume, 209-217", 209-217,08370,Calella,937665950,93 766 59 39,scuros@salutms.cat,,2020-03-19T07:59:21, Cr Sant Jaume,,clinic,yes
3620053,Consultori Local Quart," Av De La Bòbila, 6", 6,17242,Quart,972189045,972468780,,,2020-03-19T07:59:22, Av De La Bòbila,,clinic,
3620782,Consultori Local El Pla De Sant Tirs," Pl Era Badia, S/N", ,25796,Ribera d'Urgellet,973387434,,,,2020-03-19T07:59:03, PlaçaEra Badia,,clinic,
3619853,Consultori Local El Molar," Cr Major, 21", 21,43736,"Molar, el",977825179,,,,2020-03-19T07:59:41, Cr Major,,clinic,
